"IYCCNTRNO","IYCCNTRAREAID","IYCIVOYID","IYCEVOYID","IYCCTYPECD","IYCCSZCSIZECD","IYCPOTDSTPORT","IYCWEIGHT","IYCDNGFG","IYCREFFG","IYCYLOCATION","IYCPLANFG"
"MSCU7788821","B2","","195397","GP","40","USSAV","10510","","","B23842","N"
"DRYU2509788","B2","","195397","GP","20","USJAX","19200","","","B24511","N"
"MRKU0296848","A3","","195397","GP","40","USSAV","11103","","","A35433","N"
"MEDU1540198","A3","","195397","GP","20","USSAV","19450","","","A34722","Y"
"MSCU4718456","A3","","195397","GP","40","USSAV","26100","","","A35853","Y"
"UXXU2290360","B3","195769","195397","GP","20","USCHS","23103","","","B30943",""
"MRKU7790929","B3","195769","195397","GP","20","USCHS","23103","","","B30944",""
"MSCU6335836","A2","","195397","GP","20","USCHS","19440","","","A23342","N"
"MRKU0276482","A3","","195397","GP","40","USSAV","7494","","","A35431","N"
"MSKU8598717","A3","","195397","GP","40","USSAV","6156","","","A35031","N"
"TGHU4417860","B3","","195397","GP","40","USMIA","28576","","","B32662","N"
"MSCU4771065","A3","","195397","GP","40","USCHS","22158","","","A33824","N"
"MSKU1855726","A3","","195397","GP","40","USSAV","15171","","","A35025","N"
"TCLU5517592","A3","","195397","GP","40","USCHS","22904","","","A33862","N"
"MSWU9100711","A3","","195397","RF","40","USSAV","27320","","","A35832","N"
"MNBU0018338","B2","","195397","RF","40","USSAV","25300","","","B23811","N"
"PONU7424330","B2","","195397","GP","40","USJAX","8262","","","B25424","N"
"FSCU9934677","B2","","195397","GP","40","USCHS","14955","","","B25022","N"
"MRKU0476670","75","","195397","GP","40","USSAV","15360","","","756221",""
"MSKU3631617","11","195448","195397","GP","20","USSAV","20020","","","113311","Y"
"MSKU5662263","40","195448","195397","GP","20","USSAV","20610","","","401561","Y"
